{'bisim_weight': 5, 'model_epoch': 50, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527015624_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 5, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527020924_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 10, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527022228_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 15, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527023527_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 20, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527024826_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 25, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527030127_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 30, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527031426_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 35, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527032727_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 40, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527034027_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 45, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527035327_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 50, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527040628_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 5, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527041928_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 10, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527043231_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 15, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527044532_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 20, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527045831_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 25, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527051131_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 30, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527052431_mod1_bisim_1024_coef_1_gH5/logs.json'}
