{'bisim_weight': 6, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527103502_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 20, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527104757_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 25, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527110046_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 30, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527111341_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 35, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527112636_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 40, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527113931_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527115226_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 50, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527120519_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527121814_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527123109_mod1_bisim_1024_coef_1_gH5/logs.json'}
