{'bisim_weight': 6, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526152203_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 15, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526152520_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526153159_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526153541_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526153834_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526154151_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526154534_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526154916_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526155234_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526155551_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526155905_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526160222_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526160605_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526160808_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526161056_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526161439_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526161756_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 5, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526162139_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526162407_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526162724_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526162927_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 17, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526163244_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526164013_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526164330_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526164646_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526165003_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526165320_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 5, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526165523_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526165750_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526165952_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526170154_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 13, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526170537_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526171125_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526171508_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526171825_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526172143_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526172500_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526172702_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526172955_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526173158_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526173401_mod1_bisim_1024_coef_1_gH5/logs.json'}
