{'bisim_weight': 7, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 12, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526051138_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526051702_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526052045_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526052453_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526052811_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526053308_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 16, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526053626_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526054328_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 16, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526054826_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526055529_mod1_bisim_1024_coef_1_gH5/logs.json'}
